timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751268943,2.8221,0.65,0.0351,0.5127,0.0,1.0,0,9
1970-01-01 00:00:01.751268963,2.94,0.7667,0.0352,0.4803,0.0,1.0,0,9
1970-01-01 00:00:01.751268983,2.9521,0.75,0.0366,0.4373,0.0,1.0,0,9
1970-01-01 00:00:01.751269003,2.9649,0.9,0.0369,0.4122,0.0,1.0,0,9
1970-01-01 00:00:01.751269023,2.9648,0.7667,0.0349,0.4598,0.0,1.0,0,9
1970-01-01 00:00:01.751269043,2.6803,0.95,0.0367,0.4426,0.0,1.0,0,9
1970-01-01 00:00:01.751269063,2.6374,0.8333,0.0358,0.5031,0.0,1.0,0,9
1970-01-01 00:00:01.751269083,2.7184,0.8667,0.0381,0.4855,0.0,1.0,0,9
1970-01-01 00:00:01.751269103,2.8715,0.8,0.0377,0.4976,0.0,1.0,0,9
1970-01-01 00:00:01.751269123,3.0022,0.6833,0.0363,0.4652,0.0,1.0,0,9
1970-01-01 00:00:01.751269143,2.9594,0.6833,0.0358,0.4739,0.0,1.0,0,9
1970-01-01 00:00:01.751269163,2.8702,0.5333,0.0359,0.4864,0.0,1.0,0,9
1970-01-01 00:00:01.751269183,2.7758,0.65,0.0375,0.5847,0.0167,0.9983,2,9
