steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.1419,0.1833,0.2501,0.5912,0.15,0.97,0,2025-06-30 06:55:48.076999903,1751266548.077,1
1.8159,0.5,0.1976,0.5159,0.15,0.982,0,2025-06-30 06:56:08.076999903,1751266568.077,1
2.88,0.6167,0.035,0.4144,0.05,0.995,2,2025-06-30 06:56:28.076999903,1751266588.077,1
2.6345,0.7167,0.0343,0.4565,0.1333,0.9867,7,2025-06-30 06:56:48.078999996,1751266608.079,1
2.6388,0.5833,0.037,0.4336,0.1333,0.9867,7,2025-06-30 06:57:08.177999973,1751266628.178,1
2.5689,0.7,0.0366,0.4324,0.15,0.985,11,2025-06-30 06:57:28.276999950,1751266648.277,1
2.682,0.8,0.0394,0.3879,0.0667,0.9933,6,2025-06-30 06:57:48.276999950,1751266668.277,1
2.7136,0.75,0.0381,0.4417,0.1333,0.9867,11,2025-06-30 06:58:08.276999950,1751266688.277,1
2.6446,0.8167,0.0399,0.3948,0.0667,0.9933,5,2025-06-30 06:58:28.276999950,1751266708.277,1
2.4877,0.6833,0.0374,0.4578,0.1167,0.9883,10,2025-06-30 06:58:48.276999950,1751266728.277,1
2.6563,0.75,0.0391,0.3874,0.05,0.995,5,2025-06-30 06:59:08.276999950,1751266748.277,1
2.7244,0.6,0.0369,0.401,0.05,0.995,5,2025-06-30 06:59:28.276999950,1751266768.277,1
2.5359,0.5167,0.0392,0.4116,0.05,0.995,5,2025-06-30 06:59:48.278000116,1751266788.278,1
2.5119,0.4667,0.0375,0.4065,0.05,0.995,5,2025-06-30 07:00:08.377000093,1751266808.377,1
2.6801,0.4167,0.038,0.4508,0.1167,0.9879,9,2025-06-30 07:00:28.378000021,1751266828.378,1
2.8039,0.2833,0.0363,0.3997,0.0667,0.9894,4,2025-06-30 07:00:48.476999998,1751266848.477,1
