timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751266578,1.7122,0.5833,0.182,0.5044,0.0,1.0,0,1
1970-01-01 00:00:01.751266598,2.7859,0.65,0.0355,0.47,0.0667,0.9933,7,1
1970-01-01 00:00:01.751266618,2.566,0.6667,0.0357,0.4232,0.0667,0.9933,7,1
1970-01-01 00:00:01.751266638,2.6308,0.6,0.0363,0.4688,0.1333,0.9867,12,1
1970-01-01 00:00:01.751266658,2.5896,0.85,0.038,0.3862,0.0667,0.9933,6,1
1970-01-01 00:00:01.751266678,2.7497,0.7667,0.0381,0.3858,0.0667,0.9933,6,1
1970-01-01 00:00:01.751266698,2.5795,0.85,0.0395,0.4052,0.05,0.995,5,1
1970-01-01 00:00:01.751266718,2.4461,0.6833,0.0391,0.3885,0.05,0.995,5,1
1970-01-01 00:00:01.751266738,2.6487,0.6667,0.0388,0.4601,0.1,0.99,10,1
1970-01-01 00:00:01.751266758,2.6754,0.65,0.0387,0.3823,0.05,0.995,5,1
1970-01-01 00:00:01.751266778,2.8229,0.5,0.0374,0.4612,0.1,0.99,10,1
1970-01-01 00:00:01.751266798,2.5167,0.4833,0.0376,0.4096,0.05,0.995,5,1
1970-01-01 00:00:01.751266818,2.6593,0.4833,0.036,0.4595,0.1,0.99,9,1
