steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.6359,0.2667,0.0422,0.4823,0.15,0.9699,0,2025-07-04 12:02:46.326999903,1751630566.327,3
2.972,0.3833,0.0451,0.4411,0.15,0.982,0,2025-07-04 12:03:06.328000069,1751630586.328,3
2.8491,0.55,0.0401,0.5771,0.2833,0.9716,0,2025-07-04 12:03:26.427000046,1751630606.427,3
2.9858,0.4333,0.039,0.5967,0.2,0.9799,0,2025-07-04 12:03:46.427000046,1751630626.427,3
2.6347,0.45,0.0701,0.6664,0.2333,0.9767,0,2025-07-04 12:04:06.427999973,1751630646.428,3
2.7285,0.4333,0.0779,0.7085,0.1,0.99,0,2025-07-04 12:04:26.526999950,1751630666.527,3
2.6825,0.5667,0.0789,0.7524,0.2167,0.9783,0,2025-07-04 12:04:46.526999950,1751630686.527,3
2.5013,0.6167,0.0525,0.7188,0.2,0.9799,2,2025-07-04 12:05:06.526999950,1751630706.527,3
2.6862,0.6833,0.0402,0.6716,0.2833,0.9715,9,2025-07-04 12:05:26.578000069,1751630726.578,3
2.8659,0.5333,0.0419,0.5203,0.1167,0.9883,9,2025-07-04 12:05:46.588000059,1751630746.588,3
2.9904,0.6167,0.0418,0.5511,0.1667,0.9832,12,2025-07-04 12:06:06.627000093,1751630766.627,3
2.7182,0.6167,0.043,0.4508,0.0667,0.9933,5,2025-07-04 12:06:26.627000093,1751630786.627,3
2.6304,0.6333,0.0413,0.4283,0.0667,0.9933,5,2025-07-04 12:06:46.627000093,1751630806.627,3
2.7301,0.5833,0.0425,0.3858,0.0833,0.9916,5,2025-07-04 12:07:06.628000021,1751630826.628,3
2.9587,0.4333,0.0491,0.4647,0.0833,0.9913,5,2025-07-04 12:07:26.726999998,1751630846.727,3
3.0076,0.3,0.0534,0.5277,0.0833,0.9868,5,2025-07-04 12:07:46.726999998,1751630866.727,3
