timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751268613,2.9834,0.65,0.0335,0.2813,0.0,1.0,0,6
1970-01-01 00:00:01.751268633,2.8872,0.75,0.0364,0.2967,0.0,1.0,0,6
1970-01-01 00:00:01.751268653,2.8116,0.9167,0.0364,0.2894,0.0,1.0,0,6
1970-01-01 00:00:01.751268673,2.8444,0.9333,0.0364,0.2813,0.0,1.0,0,6
1970-01-01 00:00:01.751268693,2.6781,0.8667,0.0376,0.2565,0.0,1.0,0,6
1970-01-01 00:00:01.751268713,2.8942,0.8,0.0365,0.2596,0.0,1.0,0,6
1970-01-01 00:00:01.751268733,2.7167,0.8333,0.0375,0.3127,0.0,1.0,0,6
1970-01-01 00:00:01.751268753,2.7127,0.75,0.0354,0.3594,0.0,1.0,0,6
1970-01-01 00:00:01.751268773,2.6427,0.75,0.0358,0.3926,0.0,1.0,0,6
1970-01-01 00:00:01.751268793,2.8342,0.7667,0.0345,0.3675,0.0,1.0,0,6
1970-01-01 00:00:01.751268813,2.781,0.9833,0.0356,0.3402,0.0,1.0,0,6
1970-01-01 00:00:01.751268833,2.9463,1.1,0.0341,0.2846,0.0,1.0,0,6
