steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.9946,0.3333,0.0298,0.2642,0.0,1.0,0,2025-06-30 07:29:43.076999903,1751268583.077,6
3.0131,0.5,0.0339,0.2705,0.0,1.0,0,2025-06-30 07:30:03.076999903,1751268603.077,6
2.9503,0.7333,0.0359,0.2743,0.0,1.0,0,2025-06-30 07:30:23.078000069,1751268623.078,6
2.8723,0.8333,0.0365,0.3055,0.0,1.0,0,2025-06-30 07:30:43.078000069,1751268643.078,6
2.8207,0.9333,0.0352,0.2861,0.0,1.0,0,2025-06-30 07:31:03.177000046,1751268663.177,6
2.8002,0.9333,0.0364,0.2676,0.0,1.0,0,2025-06-30 07:31:23.177000046,1751268683.177,6
2.8513,0.75,0.0365,0.2535,0.0,1.0,0,2025-06-30 07:31:43.177000046,1751268703.177,6
2.88,0.8167,0.0374,0.2758,0.0,1.0,0,2025-06-30 07:32:03.177000046,1751268723.177,6
2.704,0.8,0.0364,0.3348,0.0,1.0,0,2025-06-30 07:32:23.177999973,1751268743.178,6
2.6668,0.7833,0.0358,0.373,0.0,1.0,0,2025-06-30 07:32:43.177999973,1751268763.178,6
2.6007,0.7167,0.0352,0.3892,0.0,1.0,0,2025-06-30 07:33:03.276999950,1751268783.277,6
2.799,0.8333,0.0361,0.3484,0.0,1.0,0,2025-06-30 07:33:23.278000116,1751268803.278,6
2.7705,1.05,0.0357,0.3036,0.0,1.0,0,2025-06-30 07:33:43.377000093,1751268823.377,6
2.888,1.15,0.0352,0.2618,0.0,1.0,0,2025-06-30 07:34:03.377000093,1751268843.377,6
2.9623,0.7833,0.0348,0.2334,0.0,1.0,0,2025-06-30 07:34:23.378000021,1751268863.378,6
