PERCLOS,BlinkRate,YawnRate
0.1059111976680838,-0.4170014938548831,-0.1719670528332548
-0.8176002197263068,-1.0411988669279053,-0.1719670528332548
-0.0360690894936576,0.2696156165254412,-0.1719670528332548
-0.2854939182913115,-0.2921620192402787,-0.1719670528332548
-0.5336396454028237,-0.5418409684694875,-0.1719670528332548
-0.8176002197263068,-1.0411988669279053,-0.1719670528332548
-0.7817853725143359,-0.978779129620603,-0.1719670528332548
0.7454620407389915,1.5804300999787877,-0.1719670528332548
-0.8176002197263068,-1.0411988669279053,-0.1719670528332548
-0.1076987839175993,0.2071958792181389,-0.1719670528332548
0.1417260448800546,0.4568748284473478,-0.1719670528332548
1.5986228653955823,1.8925287865152989,-0.1719670528332548
-0.0002542422816868,0.1447761419108367,-0.1719670528332548
-0.1076987839175993,0.0199366672962323,-0.1719670528332548
-0.5694544926147946,-0.978779129620603,-0.1719670528332548
-0.0002542422816868,0.3320353538327433,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
-0.1076987839175993,0.2071958792181389,-0.1719670528332548
-0.3916593582410822,-0.2921620192402787,-0.1719670528332548
0.1775408920920256,0.51929456575465,-0.1719670528332548
-0.1422345294434283,-0.0424830700110698,-0.1719670528332548
0.1417260448800546,0.2071958792181389,-0.1719670528332548
-0.8176002197263068,-1.0411988669279053,-0.1719670528332548
-0.2496790710793408,-0.1673225446256742,-0.1719670528332548
0.0342815032441422,0.3320353538327433,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
2.5924848755277723,3.390602481890552,-0.1719670528332548
-0.6756199325645653,-0.7915199176986963,-0.1719670528332548
0.319521179253767,0.4568748284473478,0.2987645233088066
1.385012883809899,1.8301090492079963,-0.1719670528332548
-0.427474205453053,-0.3545817565475809,-0.1719670528332548
-0.7817853725143359,-0.978779129620603,-0.1719670528332548
-0.2854939182913115,-0.1673225446256742,-0.1719670528332548
-0.3558445110291114,-0.6042607057767897,-0.1719670528332548
-0.2496790710793408,-0.0424830700110698,-0.1719670528332548
-0.1780493766553991,-0.104902807318372,-0.1719670528332548
-0.2496790710793408,-0.0424830700110698,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
-0.4978247981908529,-0.4794212311621853,-0.1719670528332548
0.2478914848298253,0.6441340403692544,-0.1719670528332548
-0.0718839367056284,0.2696156165254412,-0.1719670528332548
-0.427474205453053,-0.3545817565475809,-0.1719670528332548
-0.5336396454028237,-0.5418409684694875,-0.1719670528332548
-0.5336396454028237,-0.6042607057767897,-0.1719670528332548
-0.711434779776536,-0.8539396550059986,-0.1719670528332548
-0.5694544926147946,-0.6042607057767897,-0.1719670528332548
1.7764179997692946,2.953664320739436,-0.1719670528332548
-0.462009950978882,-0.4170014938548831,-0.1719670528332548
-0.3916593582410822,-0.5418409684694875,-0.1719670528332548
-0.2138642238673699,0.0199366672962323,-0.1719670528332548
0.8516274806887622,1.08107220152037,-0.1719670528332548
-0.2854939182913115,-0.104902807318372,-0.1719670528332548
-0.2138642238673699,0.0199366672962323,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
-0.711434779776536,-0.978779129620603,-0.1719670528332548
-0.462009950978882,-0.4170014938548831,-0.1719670528332548
-0.1076987839175993,0.1447761419108367,-0.1719670528332548
1.704788305345353,2.891244583432134,-0.1719670528332548
-0.4978247981908529,-0.4794212311621853,-0.1719670528332548
-0.2496790710793408,-0.0424830700110698,-0.1719670528332548
0.4973163136274793,0.51929456575465,-0.1719670528332548
-0.427474205453053,-0.3545817565475809,-0.1719670528332548
-0.6052693398267653,-0.6666804430840919,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
0.2478914848298253,-0.4170014938548831,-0.1719670528332548
3.695070528982017,4.077219592270876,-0.1719670528332548
3.1616851258608807,3.827540643041667,1.7109592517349912
-0.462009950978882,-0.4170014938548831,-0.1719670528332548
-0.1780493766553991,0.0823564046035345,-0.1719670528332548
0.1417260448800546,0.5817143030619523,-0.1719670528332548
-0.0718839367056284,0.2696156165254412,-0.1719670528332548
-0.7472496269885068,-0.9163593923133008,-0.1719670528332548
-0.5336396454028237,-0.5418409684694875,-0.1719670528332548
-0.3916593582410822,-0.2921620192402787,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
-0.1076987839175993,0.1447761419108367,-0.1719670528332548
-0.1422345294434283,0.0823564046035345,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
0.8170917351629331,1.6428498372860898,-0.1719670528332548
2.130729166830577,2.0797879984372054,-0.1719670528332548
2.2727094539923187,1.7676893119006942,-0.1719670528332548
-0.5336396454028237,-0.5418409684694875,-0.1719670528332548
-0.7472496269885068,-0.9163593923133008,-0.1719670528332548
-0.1076987839175993,0.0199366672962323,-0.1719670528332548
0.7096471935270207,1.455590625364183,-0.1719670528332548
-0.711434779776536,-0.8539396550059986,-0.1719670528332548
0.6392966007892208,1.455590625364183,-0.1719670528332548
-0.1780493766553991,0.0199366672962323,-0.1719670528332548
-0.8176002197263068,-1.0411988669279053,-0.1719670528332548
-0.8176002197263068,-1.0411988669279053,-0.1719670528332548
1.2788474438601285,1.8301090492079963,-0.1719670528332548
1.0652374622744452,1.2683314134422763,-0.1719670528332548
-0.7472496269885068,-0.9163593923133008,-0.1719670528332548
1.810953745295124,2.8288248461248315,2.181690827877053
-0.2138642238673699,-0.104902807318372,-0.1719670528332548
0.5318520591533082,0.6441340403692544,3.593885556303237
-0.0002542422816868,0.3944550911400455,-0.1719670528332548
-0.2138642238673699,0.0199366672962323,-0.1719670528332548
0.4973163136274793,1.2059116761349742,-0.1719670528332548
-0.427474205453053,-0.3545817565475809,-0.1719670528332548
-0.8534150669382775,-1.1036186042352074,-0.1719670528332548
-0.427474205453053,-0.3545817565475809,-0.1719670528332548
0.7812768879509623,1.6428498372860898,-0.1719670528332548
0.319521179253767,-0.6666804430840919,13.479248655286527
1.2788474438601285,1.6428498372860898,-0.1719670528332548
-0.1422345294434283,0.1447761419108367,-0.1719670528332548
-0.6398050853525944,-0.7291001803913941,-0.1719670528332548
