,steer_mean,steer_std,steer_min,steer_max,steer_median,steer_skewness,steer_kurtosis,steer_entropy,steer_reversal_rate_per_min,lat_mean,lat_std,lat_min,lat_max,lat_median,lat_skewness,lat_kurtosis,lateral_sdlp,lane_departure_freq_hz,lane_keeping_ratio
normal,0.029821952241307084,0.05633621199855056,-0.206,0.492,0.0,1.9326538463048815,6.166578115577154,2.269042922162358,0.0,0.1001216589861751,0.36549274294330736,-1.747,1.745,0.109,-0.4897555452685443,5.777555941379472,0.36549274294330736,0.002642711892804735,0.6236279849183075
moderate,0.03335475492249686,0.15721843774951366,-1.133,1.222,0.0,1.1137827385392223,14.107735497757112,1.6385382163697277,0.0,0.05638969417679095,0.36922322297014015,-1.673,1.696,0.056,-0.4572674916892805,5.697741936058302,0.36922322297014015,0.003420582999035481,0.2036028487641391
drowsy,0.03660192710515291,0.2003729595588673,-0.817,1.213,0.0,0.9249296119273102,5.394349714913211,2.2591551735737774,0.0,0.27781851696690407,0.7265285758216827,-1.723,2.472,0.179,0.38917661803647696,1.12349783932118,0.7265285758216827,0.007556336740842396,0.6917469627147047
