steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.2571,0.1833,0.0134,0.2868,0.0,1.0,0,2025-06-27 12:58:21.859999895,1751029101.86,4
2.457,0.2833,0.021,0.3876,0.0,1.0,0,2025-06-27 12:58:41.859999895,1751029121.86,4
2.6819,0.4,0.0233,0.422,0.0,1.0,0,2025-06-27 12:59:01.960000038,1751029141.96,4
2.9297,0.35,0.0229,0.4119,0.0,1.0,0,2025-06-27 12:59:21.960000038,1751029161.96,4
2.7129,0.4167,0.0207,0.3341,0.0,1.0,0,2025-06-27 12:59:42.059000015,1751029182.059,4
2.8498,0.35,0.021,0.3568,0.0,1.0,0,2025-06-27 13:00:02.059999943,1751029202.06,4
2.9615,0.3167,0.0231,0.3417,0.0,1.0,0,2025-06-27 13:00:22.059999943,1751029222.06,4
2.527,0.2333,0.0272,0.3401,0.0,1.0,0,2025-06-27 13:00:42.059999943,1751029242.06,4
2.4024,0.3,0.0278,0.3546,0.0,1.0,0,2025-06-27 13:01:02.059999943,1751029262.06,4
2.4001,0.3167,0.0263,0.3824,0.0,1.0,0,2025-06-27 13:01:22.158999920,1751029282.159,4
2.5202,0.3167,0.0252,0.4341,0.0,1.0,0,2025-06-27 13:01:42.158999920,1751029302.159,4
2.623,0.35,0.0243,0.3752,0.0,1.0,0,2025-06-27 13:02:02.158999920,1751029322.159,4
2.8668,0.3333,0.0285,0.4423,0.0,1.0,0,2025-06-27 13:02:22.160000086,1751029342.16,4
2.8489,0.4,0.0274,0.4013,0.0,1.0,0,2025-06-27 13:02:42.259999990,1751029362.26,4
2.9603,0.3333,0.0267,0.4774,0.0,1.0,0,2025-06-27 13:03:02.259999990,1751029382.26,4
3.0069,0.25,0.0237,0.4578,0.0,1.0,0,2025-06-27 13:03:22.259999990,1751029402.26,4
