timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751029131,2.3331,0.3833,0.0197,0.3715,0.0,1.0,0,4
1970-01-01 00:00:01.751029151,2.7242,0.4667,0.023,0.4194,0.0,1.0,0,4
1970-01-01 00:00:01.751029171,2.7185,0.4,0.0209,0.3419,0.0,1.0,0,4
1970-01-01 00:00:01.751029191,2.9893,0.3167,0.0231,0.3858,0.0,1.0,0,4
1970-01-01 00:00:01.751029211,2.9981,0.3167,0.0219,0.3442,0.0,1.0,0,4
1970-01-01 00:00:01.751029231,2.8373,0.35,0.023,0.3075,0.0,1.0,0,4
1970-01-01 00:00:01.751029251,2.4411,0.2333,0.0279,0.3467,0.0,1.0,0,4
1970-01-01 00:00:01.751029271,2.5179,0.25,0.0268,0.3636,0.0,1.0,0,4
1970-01-01 00:00:01.751029291,2.1898,0.3167,0.026,0.3978,0.0,1.0,0,4
1970-01-01 00:00:01.751029311,2.6547,0.3667,0.0244,0.3591,0.0,1.0,0,4
1970-01-01 00:00:01.751029331,2.7311,0.3333,0.027,0.4367,0.0,1.0,0,4
1970-01-01 00:00:01.751029351,2.9532,0.3,0.0293,0.4543,0.0,1.0,0,4
1970-01-01 00:00:01.751029371,2.8789,0.3833,0.0259,0.4226,0.0,1.0,0,4
