timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751627155,2.9682,0.3167,0.048,0.818,0.0,1.0,0,9
1970-01-01 00:00:01.751627175,3.0214,0.5167,0.0408,0.8448,0.0333,0.9967,2,9
1970-01-01 00:00:01.751627195,2.8569,0.55,0.0445,0.8231,0.0333,0.9967,2,9
1970-01-01 00:00:01.751627215,2.8383,0.6,0.0427,0.7736,0.05,0.995,4,9
1970-01-01 00:00:01.751627235,2.9599,0.5333,0.0492,0.7494,0.0333,0.9967,4,9
1970-01-01 00:00:01.751627255,3.0521,0.6833,0.0509,0.7361,0.0333,0.9967,4,9
1970-01-01 00:00:01.751627275,3.144,0.7667,0.0584,0.7799,0.0167,0.9983,2,9
1970-01-01 00:00:01.751627295,3.1331,0.85,0.0582,0.8114,0.0,1.0,0,9
1970-01-01 00:00:01.751627315,3.0751,0.7667,0.0575,0.8523,0.0,1.0,0,9
1970-01-01 00:00:01.751627335,2.917,0.7167,0.0518,0.7937,0.0,1.0,0,9
1970-01-01 00:00:01.751627355,3.1085,0.65,0.0507,0.757,0.0,1.0,0,9
1970-01-01 00:00:01.751627376,3.0537,0.5667,0.0559,0.7965,0.0667,0.9933,2,9
1970-01-01 00:00:01.751627396,3.1434,0.6,0.0608,0.8679,0.0667,0.9933,2,9
