steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.7772,0.3,0.0304,0.3692,0.0,1.0,0,2025-07-04 10:58:42.312000036,1751626722.312,5
2.9278,0.3833,0.0354,0.5883,0.15,0.982,0,2025-07-04 10:59:02.312000036,1751626742.312,5
2.9885,0.4,0.0357,0.5933,0.15,0.985,0,2025-07-04 10:59:22.312000036,1751626762.312,5
3.0514,0.4,0.0372,0.5913,0.2167,0.9783,0,2025-07-04 10:59:42.312000036,1751626782.312,5
2.8551,0.4333,0.0357,0.542,0.1167,0.9883,0,2025-07-04 11:00:02.312000036,1751626802.312,5
3.0344,0.3333,0.0363,0.5762,0.1667,0.9833,0,2025-07-04 11:00:22.312000036,1751626822.312,5
2.6792,0.4333,0.0355,0.5687,0.1833,0.9817,0,2025-07-04 11:00:42.312000036,1751626842.312,5
2.8241,0.45,0.0346,0.6144,0.1833,0.9817,0,2025-07-04 11:01:02.312999964,1751626862.313,5
2.5889,0.5167,0.0352,0.6081,0.2,0.98,2,2025-07-04 11:01:22.312999964,1751626882.313,5
2.7287,0.3833,0.0342,0.6173,0.1667,0.9833,2,2025-07-04 11:01:42.411999941,1751626902.412,5
2.5075,0.4,0.0336,0.5182,0.1167,0.9883,2,2025-07-04 11:02:02.411999941,1751626922.412,5
2.8209,0.3167,0.0325,0.5021,0.05,0.995,0,2025-07-04 11:02:22.411999941,1751626942.412,5
2.7829,0.4333,0.0322,0.454,0.0,1.0,0,2025-07-04 11:02:42.411999941,1751626962.412,5
2.7767,0.4833,0.034,0.4513,0.0,1.0,0,2025-07-04 11:03:02.411999941,1751626982.412,5
2.7516,0.4667,0.0329,0.5581,0.0,1.0,0,2025-07-04 11:03:22.413000107,1751627002.413,5
2.7654,0.3333,0.0441,0.5512,0.0,1.0,0,2025-07-04 11:03:42.512000083,1751627022.512,5
2.8062,0.1333,0.0472,0.6285,0.0,1.0,0,2025-07-04 11:04:02.512000083,1751627042.512,5
