timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751626358,2.222,0.6333,0.0788,0.7438,0.0,1.0,0,9
1970-01-01 00:00:01.751626378,3.2271,0.55,0.0461,0.7519,0.0,1.0,0,9
1970-01-01 00:00:01.751626398,2.9823,0.5667,0.0497,0.7947,0.0,1.0,0,9
1970-01-01 00:00:01.751626418,2.9901,0.5333,0.0494,0.7878,0.0,1.0,0,9
1970-01-01 00:00:01.751626438,2.7989,0.5667,0.0508,0.8204,0.0167,0.9983,2,9
1970-01-01 00:00:01.751626458,3.0213,0.55,0.0494,0.7769,0.0167,0.9983,2,9
1970-01-01 00:00:01.751626478,3.0012,0.5167,0.048,0.8073,0.0167,0.9983,2,9
1970-01-01 00:00:01.751626498,3.2093,0.6333,0.0435,0.8097,0.0,1.0,0,9
1970-01-01 00:00:01.751626518,2.6602,0.7,0.0547,0.9217,0.15,0.985,4,9
1970-01-01 00:00:01.751626538,2.6453,0.8167,0.0585,0.9567,0.15,0.985,4,9
1970-01-01 00:00:01.751626558,2.6999,0.8333,0.0604,0.9509,0.2667,0.9733,8,9
1970-01-01 00:00:01.751626578,2.7445,0.9333,0.0492,0.8657,0.1167,0.9883,4,9
