steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.3778,0.3,0.102,0.7538,0.1833,0.9633,0,2025-07-04 10:52:08.812000036,1751626328.812,9
2.2775,0.5333,0.084,0.726,0.3,0.964,0,2025-07-04 10:52:28.812000036,1751626348.812,9
3.2045,0.6667,0.0446,0.8045,0.4167,0.9583,0,2025-07-04 10:52:48.812000036,1751626368.812,9
3.2192,0.5833,0.0454,0.7492,0.3667,0.9633,0,2025-07-04 10:53:08.812000036,1751626388.812,9
2.9878,0.5833,0.0491,0.8036,0.4333,0.9567,0,2025-07-04 10:53:28.812000036,1751626408.812,9
2.7548,0.5333,0.0502,0.8136,0.4667,0.9533,2,2025-07-04 10:53:48.812000036,1751626428.812,9
2.8062,0.5667,0.0524,0.8092,0.45,0.955,2,2025-07-04 10:54:08.812999964,1751626448.813,9
2.9876,0.5,0.0476,0.7944,0.3833,0.9617,2,2025-07-04 10:54:28.913000107,1751626468.913,9
3.1381,0.55,0.0446,0.8047,0.4667,0.9533,0,2025-07-04 10:54:48.915999889,1751626488.916,9
2.7929,0.7333,0.0457,0.8689,0.6,0.94,2,2025-07-04 10:55:09.012000084,1751626509.012,9
2.682,0.7333,0.0588,0.9315,0.7667,0.9233,4,2025-07-04 10:55:29.012000084,1751626529.012,9
2.7011,0.8167,0.0604,0.9456,0.9333,0.9067,8,2025-07-04 10:55:49.012000084,1751626549.012,9
2.6503,0.8167,0.0582,0.9105,0.7833,0.9217,6,2025-07-04 10:56:09.012000084,1751626569.012,9
3.0989,0.95,0.0497,0.8971,0.8167,0.9183,6,2025-07-04 10:56:29.013000011,1751626589.013,9
2.9254,0.6667,0.0468,0.8048,0.4167,0.9457,2,2025-07-04 10:56:49.111999989,1751626609.112,9
