steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.5552,0.3833,0.027,0.596,0.05,0.99,0,2025-07-04 10:44:42.411999941,1751625882.412,5
2.832,0.55,0.03,0.6322,0.05,0.994,0,2025-07-04 10:45:02.411999941,1751625902.412,5
2.9264,0.6167,0.0317,0.5803,0.05,0.995,0,2025-07-04 10:45:22.411999941,1751625922.412,5
2.8781,0.65,0.0311,0.4398,0.0,1.0,0,2025-07-04 10:45:42.411999941,1751625942.412,5
2.8611,0.8333,0.0317,0.5438,0.1333,0.9867,2,2025-07-04 10:46:02.411999941,1751625962.412,5
2.9038,0.8667,0.0322,0.6678,0.1667,0.9833,2,2025-07-04 10:46:22.411999941,1751625982.412,5
2.7543,0.9167,0.0366,0.7905,0.3167,0.9683,2,2025-07-04 10:46:42.411999941,1751626002.412,5
2.783,0.75,0.0374,0.7585,0.3667,0.9633,0,2025-07-04 10:47:02.411999941,1751626022.412,5
2.8707,0.6333,0.0384,0.794,0.6,0.94,4,2025-07-04 10:47:22.411999941,1751626042.412,5
2.6482,0.7,0.036,0.7978,0.6833,0.9317,4,2025-07-04 10:47:42.411999941,1751626062.412,5
2.4368,0.7,0.037,0.8845,0.8167,0.9183,4,2025-07-04 10:48:02.411999941,1751626082.412,5
2.6065,0.7667,0.0367,0.9481,0.8167,0.9183,2,2025-07-04 10:48:22.411999941,1751626102.412,5
2.6467,0.5833,0.0365,0.9346,0.7667,0.9233,4,2025-07-04 10:48:42.411999941,1751626122.412,5
3.0503,0.5333,0.0342,0.9086,0.6667,0.9333,4,2025-07-04 10:49:02.411999941,1751626142.412,5
2.8694,0.4833,0.034,0.8205,0.45,0.9535,2,2025-07-04 10:49:22.411999941,1751626162.412,5
2.7925,0.2833,0.034,0.8171,0.2667,0.958,0,2025-07-04 10:49:42.411999941,1751626182.412,5
