timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751625912,2.6697,0.7333,0.0288,0.5896,0.0,1.0,0,5
1970-01-01 00:00:01.751625932,2.9478,0.6167,0.0313,0.5186,0.0,1.0,0,5
1970-01-01 00:00:01.751625952,2.8557,0.7667,0.0322,0.5275,0.0,1.0,0,5
1970-01-01 00:00:01.751625972,3.0237,0.7833,0.0337,0.6046,0.0167,0.9983,2,5
1970-01-01 00:00:01.751625992,2.8132,1.0667,0.0338,0.7186,0.0167,0.9983,2,5
1970-01-01 00:00:01.751626012,2.7835,0.7667,0.0365,0.773,0.0167,0.9983,2,5
1970-01-01 00:00:01.751626032,2.7306,0.6833,0.035,0.7604,0.0167,0.9983,2,5
1970-01-01 00:00:01.751626052,2.8374,0.55,0.0373,0.8079,0.0333,0.9967,4,5
1970-01-01 00:00:01.751626072,2.4172,0.7667,0.0381,0.8233,0.0333,0.9967,4,5
1970-01-01 00:00:01.751626092,2.5203,0.8167,0.0389,0.9425,0.0333,0.9967,3,5
1970-01-01 00:00:01.751626112,2.6495,0.6833,0.0367,0.9146,0.0167,0.9983,2,5
1970-01-01 00:00:01.751626132,3.0876,0.5,0.0334,0.8866,0.0333,0.9967,4,5
1970-01-01 00:00:01.751626152,2.9292,0.45,0.0326,0.8497,0.0167,0.9983,2,5
