steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.9017,0.35,0.0336,0.3207,0.0,1.0,0,2025-06-30 07:08:09.776999950,1751267289.777,5
2.8661,0.6,0.0352,0.3225,0.0,1.0,0,2025-06-30 07:08:29.776999950,1751267309.777,5
2.7337,0.7167,0.0347,0.3006,0.0,1.0,0,2025-06-30 07:08:49.776999950,1751267329.777,5
2.8803,0.55,0.0355,0.3664,0.0,1.0,0,2025-06-30 07:09:09.776999950,1751267349.777,5
2.6703,0.5,0.0357,0.3692,0.0,1.0,0,2025-06-30 07:09:29.776999950,1751267369.777,5
2.7315,0.3833,0.0352,0.3787,0.0,1.0,0,2025-06-30 07:09:49.776999950,1751267389.777,5
2.77,0.5167,0.0346,0.3585,0.0,1.0,0,2025-06-30 07:10:09.776999950,1751267409.777,5
2.9426,0.55,0.0334,0.44,0.0667,0.9933,0,2025-06-30 07:10:29.778000116,1751267429.778,5
2.9535,0.7,0.0347,0.437,0.0667,0.9933,0,2025-06-30 07:10:49.877000093,1751267449.877,5
2.9759,0.7833,0.0349,0.4802,0.1167,0.9883,0,2025-06-30 07:11:09.877000093,1751267469.877,5
2.9895,0.7167,0.0362,0.4428,0.05,0.995,0,2025-06-30 07:11:29.877000093,1751267489.877,5
2.9994,0.7,0.0362,0.4538,0.05,0.995,0,2025-06-30 07:11:49.877000093,1751267509.877,5
2.7871,0.55,0.0377,0.4267,0.0,1.0,0,2025-06-30 07:12:09.877000093,1751267529.877,5
2.6862,0.6,0.037,0.3715,0.0,1.0,0,2025-06-30 07:12:29.877000093,1751267549.877,5
2.5925,0.4667,0.0361,0.4574,0.0833,0.9917,0,2025-06-30 07:12:49.877000093,1751267569.877,5
2.815,0.3167,0.0346,0.4463,0.0833,0.9879,0,2025-06-30 07:13:09.878000021,1751267589.878,5
