timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751267319,2.8444,0.6667,0.0341,0.3087,0.0,1.0,0,5
1970-01-01 00:00:01.751267339,2.8098,0.5667,0.0338,0.3217,0.0,1.0,0,5
1970-01-01 00:00:01.751267359,2.6148,0.5167,0.0357,0.3578,0.0,1.0,0,5
1970-01-01 00:00:01.751267379,2.7559,0.4667,0.0356,0.3858,0.0,1.0,0,5
1970-01-01 00:00:01.751267399,2.7326,0.4167,0.036,0.354,0.0,1.0,0,5
1970-01-01 00:00:01.751267419,2.9293,0.55,0.0342,0.372,0.0,1.0,0,5
1970-01-01 00:00:01.751267439,2.9119,0.6333,0.0349,0.4299,0.0,1.0,0,5
1970-01-01 00:00:01.751267459,3.0016,0.7,0.0346,0.4744,0.0,1.0,0,5
1970-01-01 00:00:01.751267479,3.0072,0.7167,0.0357,0.4868,0.0,1.0,0,5
1970-01-01 00:00:01.751267499,3.0121,0.7,0.0366,0.4551,0.0,1.0,0,5
1970-01-01 00:00:01.751267519,2.9839,0.7167,0.0366,0.4437,0.0,1.0,0,5
1970-01-01 00:00:01.751267539,2.6792,0.5667,0.0367,0.3906,0.0,1.0,0,5
1970-01-01 00:00:01.751267559,2.6373,0.5333,0.036,0.4549,0.0,1.0,0,5
