steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
0.0,0.0,0.0,0.0276,0.0,1.0,0,2025-07-04 11:45:19.927999973,1751629519.928,8
1.7338,0.2167,0.0375,0.6784,0.45,0.9461,0,2025-07-04 11:45:39.927999973,1751629539.928,8
2.1604,0.35,0.0432,0.8115,0.7,0.93,8,2025-07-04 11:46:00.026999950,1751629560.027,8
2.6415,0.55,0.0458,0.9791,1.2667,0.8733,14,2025-07-04 11:46:20.026999950,1751629580.027,8
2.1859,0.5333,0.0548,1.1883,1.65,0.8347,22,2025-07-04 11:46:40.028000116,1751629600.028,8
1.4152,0.6,0.2611,1.6785,2.3667,0.7633,21,2025-07-04 11:47:00.028000116,1751629620.028,8
1.6083,0.65,0.2633,1.6833,2.1667,0.7833,19,2025-07-04 11:47:20.028000116,1751629640.028,8
1.9347,0.6333,0.2975,2.3773,2.9667,0.7033,17,2025-07-04 11:47:40.127000093,1751629660.127,8
1.9275,0.5833,0.2222,2.5669,4.1,0.59,18,2025-07-04 11:48:00.127000093,1751629680.127,8
1.8755,0.55,0.2223,2.5351,4.2667,0.5733,16,2025-07-04 11:48:20.127000093,1751629700.127,8
1.4279,0.6167,0.1611,1.8998,2.9667,0.7033,12,2025-07-04 11:48:40.127000093,1751629720.127,8
1.5266,0.7333,0.0561,1.1005,1.4333,0.8567,11,2025-07-04 11:49:00.127000093,1751629740.127,8
2.1246,0.65,0.0532,1.5829,2.6667,0.7333,11,2025-07-04 11:49:20.127000093,1751629760.127,8
2.1505,0.6167,0.0525,1.5568,2.9333,0.7067,12,2025-07-04 11:49:40.127000093,1751629780.127,8
2.0769,0.5333,0.0518,2.4864,3.2667,0.6706,9,2025-07-04 11:50:00.127000093,1751629800.127,8
2.4389,0.4167,0.0389,2.5362,1.4833,0.7741,7,2025-07-04 11:50:20.128000020,1751629820.128,8
