steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.2658,0.1833,0.1153,1.1006,0.45,0.91,2,2025-07-04 11:16:27.927000046,1751627787.927,9
1.8969,0.35,0.0923,1.0504,0.5667,0.932,2,2025-07-04 11:16:47.927000046,1751627807.927,9
2.0581,0.3833,0.0522,0.9768,0.75,0.925,3,2025-07-04 11:17:07.927000046,1751627827.927,9
2.6187,0.4333,0.0376,0.9414,0.8333,0.9167,2,2025-07-04 11:17:27.927000046,1751627847.927,9
2.7416,0.3833,0.0418,0.9391,1.0167,0.8983,4,2025-07-04 11:17:47.927000046,1751627867.927,9
2.6326,0.4333,0.0466,0.9177,0.9167,0.9083,2,2025-07-04 11:18:07.927000046,1751627887.927,9
2.6073,0.3667,0.0475,0.92,0.9,0.91,4,2025-07-04 11:18:27.927000046,1751627907.927,9
2.8425,0.45,0.0518,0.993,1.1167,0.8883,6,2025-07-04 11:18:47.927000046,1751627927.927,9
2.9243,0.5667,0.0506,1.0526,1.2667,0.8733,8,2025-07-04 11:19:07.927000046,1751627947.927,9
3.1809,0.5833,0.0509,1.0319,1.1167,0.8883,6,2025-07-04 11:19:27.927000046,1751627967.927,9
2.9938,0.5833,0.0446,0.9032,0.7167,0.9283,2,2025-07-04 11:19:47.927000046,1751627987.927,9
2.8216,0.45,0.0499,0.8423,0.5,0.95,0,2025-07-04 11:20:07.927000046,1751628007.927,9
2.6931,0.4333,0.0534,0.958,1.1333,0.8867,7,2025-07-04 11:20:27.927000046,1751628027.927,9
1.9569,0.4,0.1599,1.3229,2.7833,0.7217,8,2025-07-04 11:20:47.927999973,1751628047.928,9
1.8286,0.35,0.1574,1.2514,2.5667,0.7433,8,2025-07-04 11:21:08.026999950,1751628068.027,9
1.5633,0.25,0.1553,0.9627,1.7833,0.819,1,2025-07-04 11:21:28.026999950,1751628088.027,9
1.2401,0.0833,0.027,0.4369,0.0333,0.9949,0,2025-07-04 11:21:48.026999950,1751628108.027,9
