timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751267985,2.7832,0.5667,0.0405,0.5829,0.0,1.0,0,8
1970-01-01 00:00:01.751268005,2.93,0.75,0.0387,0.668,0.0167,0.9983,2,8
1970-01-01 00:00:01.751268025,2.8687,1.0,0.0384,0.6618,0.0333,0.9967,4,8
1970-01-01 00:00:01.751268045,2.7887,1.15,0.038,0.602,0.0333,0.9967,4,8
1970-01-01 00:00:01.751268065,2.7235,1.1333,0.0374,0.5664,0.0167,0.9983,2,8
1970-01-01 00:00:01.751268085,2.8149,0.9,0.0395,0.5317,0.0,1.0,0,8
1970-01-01 00:00:01.751268105,2.8179,0.8667,0.0386,0.5443,0.0,1.0,0,8
1970-01-01 00:00:01.751268125,2.6194,0.8167,0.0366,0.5153,0.0167,0.9983,2,8
1970-01-01 00:00:01.751268145,2.6372,0.8,0.035,0.4702,0.0167,0.9983,2,8
1970-01-01 00:00:01.751268165,2.6652,0.7,0.0372,0.557,0.0167,0.9983,2,8
1970-01-01 00:00:01.751268185,2.547,0.6833,0.036,0.5089,0.0,1.0,0,8
1970-01-01 00:00:01.751268205,2.6721,0.8167,0.0384,0.5699,0.0,1.0,0,8
1970-01-01 00:00:01.751268225,2.7865,0.9833,0.0378,0.4996,0.0,1.0,0,8
1970-01-01 00:00:01.751268245,2.7567,1.0167,0.0385,0.503,0.0,1.0,0,8
