steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.7436,0.25,0.0428,0.5001,0.0167,0.9967,0,2025-06-30 07:19:15.177000046,1751267955.177,8
2.767,0.45,0.0405,0.5541,0.1333,0.984,0,2025-06-30 07:19:35.177999973,1751267975.178,8
2.9968,0.7,0.0364,0.6106,0.1667,0.9833,0,2025-06-30 07:19:55.276999950,1751267995.277,8
2.9188,0.8667,0.0391,0.6304,0.2833,0.9717,2,2025-06-30 07:20:15.276999950,1751268015.277,8
2.8397,1.1,0.0384,0.6238,0.2667,0.9733,4,2025-06-30 07:20:35.276999950,1751268035.277,8
2.8214,1.15,0.0397,0.6345,0.2667,0.9733,4,2025-06-30 07:20:55.276999950,1751268055.277,8
2.7969,1.0167,0.0385,0.5918,0.1333,0.9867,2,2025-06-30 07:21:15.276999950,1751268075.277,8
2.8345,0.8667,0.0392,0.5151,0.0333,0.9967,0,2025-06-30 07:21:35.276999950,1751268095.277,8
2.689,0.8,0.0369,0.4725,0.1333,0.9867,0,2025-06-30 07:21:55.278000116,1751268115.278,8
2.5939,0.8167,0.0348,0.4833,0.2333,0.9767,2,2025-06-30 07:22:15.377000093,1751268135.377,8
2.6151,0.7,0.0353,0.513,0.2333,0.9767,2,2025-06-30 07:22:35.377000093,1751268155.377,8
2.5581,0.7333,0.0365,0.5628,0.25,0.975,2,2025-06-30 07:22:55.377000093,1751268175.377,8
2.6701,0.75,0.0383,0.557,0.15,0.985,0,2025-06-30 07:23:15.377000093,1751268195.377,8
2.7551,0.9167,0.0391,0.5974,0.15,0.985,0,2025-06-30 07:23:35.377000093,1751268215.377,8
2.7218,1.05,0.0379,0.5105,0.0,1.0,0,2025-06-30 07:23:55.377000093,1751268235.377,8
2.854,0.8333,0.0365,0.4244,0.0,1.0,0,2025-06-30 07:24:15.377000093,1751268255.377,8
2.6882,0.4667,0.0342,0.3143,0.0,1.0,0,2025-06-30 07:24:35.377000093,1751268275.377,8
