steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.7141,0.4667,0.0356,0.4096,0.0,1.0,0,2025-06-27 13:19:02.388999939,1751030342.389,8
2.6723,0.7167,0.0366,0.751,0.45,0.9461,6,2025-06-27 13:19:22.394000053,1751030362.394,8
2.5423,0.8333,0.0353,0.7708,0.4833,0.9517,6,2025-06-27 13:19:42.400000095,1751030382.4,8
2.6075,0.6333,0.0335,0.9563,0.9667,0.903,13,2025-06-27 13:20:02.493000031,1751030402.493,8
2.7077,0.55,0.0362,0.9033,0.9,0.9097,11,2025-06-27 13:20:22.559000015,1751030422.559,8
2.5255,0.55,0.0455,0.9289,1.0167,0.898,13,2025-06-27 13:20:42.585000038,1751030442.585,8
2.6532,0.5167,0.0455,0.8047,0.7,0.9301,8,2025-06-27 13:21:02.605999947,1751030462.606,8
2.6225,0.5667,0.0318,0.6629,0.3,0.97,4,2025-06-27 13:21:22.660000086,1751030482.66,8
2.7646,0.5,0.0269,0.6432,0.2333,0.9766,2,2025-06-27 13:21:42.759000063,1751030502.759,8
2.9877,0.6667,0.0271,0.6011,0.1667,0.9833,0,2025-06-27 13:22:02.759000063,1751030522.759,8
2.8088,0.6333,0.0275,0.7043,0.2833,0.9716,0,2025-06-27 13:22:22.759999990,1751030542.76,8
2.8811,0.6333,0.0292,0.7295,0.3167,0.9682,0,2025-06-27 13:22:42.759999990,1751030562.76,8
2.7391,0.65,0.0332,0.7894,0.35,0.9649,2,2025-06-27 13:23:02.760999918,1751030582.761,8
2.7141,0.6667,0.0335,0.8197,0.45,0.9548,4,2025-06-27 13:23:22.822000027,1751030602.822,8
2.7752,0.6,0.0337,0.8377,0.4,0.9561,4,2025-06-27 13:23:42.832999945,1751030622.833,8
3.1866,0.3,0.0307,0.8183,0.2667,0.9538,2,2025-06-27 13:24:02.848000050,1751030642.848,8
