timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
2025-07-04 10:35:52.512301,2.7497,0.5667,0.0346,0.658,0.0,1.0,0,2
2025-07-04 10:36:12.512011,2.6302,0.5667,0.0346,0.5949,0.0,1.0,0,2
2025-07-04 10:36:32.512192,2.7892,0.55,0.0357,0.5921,0.0,1.0,0,2
2025-07-04 10:36:52.512031,2.9696,0.4833,0.035,0.6096,0.0,1.0,0,2
2025-07-04 10:37:12.512122,2.8116,0.5,0.0379,0.5965,0.0,1.0,0,2
2025-07-04 10:37:32.512299,2.8688,0.5667,0.0395,0.7223,0.0,1.0,0,2
2025-07-04 10:37:52.512027,2.7916,0.6,0.0405,0.6652,0.0,1.0,0,2
2025-07-04 10:38:12.512367,2.8647,0.6167,0.0394,0.6964,0.0,1.0,0,2
2025-07-04 10:38:32.512015,2.8669,0.5,0.0374,0.5525,0.0,1.0,0,2
2025-07-04 10:38:52.512716,2.8007,0.5,0.0377,0.6791,0.0,1.0,0,2
2025-07-04 10:39:12.512082,3.0829,0.3833,0.0372,0.7075,0.0,1.0,0,2
2025-07-04 10:39:32.512122,3.0173,0.5,0.0361,0.7896,0.0,1.0,0,2
2025-07-04 10:39:52.512559,2.6915,0.4667,0.0376,0.7018,0.0,1.0,0,2
