steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
1.8974,0.0667,0.0343,0.4812,0.0833,0.9833,2,2025-07-04 11:28:20.127000093,1751628500.127,6
2.2127,0.15,0.0363,0.4517,0.1167,0.986,2,2025-07-04 11:28:40.127000093,1751628520.127,6
2.5382,0.3,0.0365,0.6106,0.35,0.965,2,2025-07-04 11:29:00.127000093,1751628540.127,6
3.2044,0.3333,0.0341,0.7449,0.3167,0.9683,0,2025-07-04 11:29:20.127000093,1751628560.127,6
3.1647,0.4167,0.0317,0.9264,0.5167,0.9483,2,2025-07-04 11:29:40.128000020,1751628580.128,6
3.0692,0.4,0.0326,1.0057,0.7,0.93,4,2025-07-04 11:30:00.226999998,1751628600.227,6
2.6938,0.35,0.0349,1.0005,0.7,0.93,4,2025-07-04 11:30:20.226999998,1751628620.227,6
2.7314,0.2667,0.0352,0.9978,0.7833,0.9217,6,2025-07-04 11:30:40.226999998,1751628640.227,6
2.8039,0.2333,0.0353,0.8963,0.3833,0.9617,4,2025-07-04 11:31:00.226999998,1751628660.227,6
2.9458,0.3167,0.0358,0.8981,0.6,0.94,4,2025-07-04 11:31:20.226999998,1751628680.227,6
3.0189,0.3167,0.0359,0.9528,0.6167,0.9383,0,2025-07-04 11:31:40.226999998,1751628700.227,6
2.7414,0.3667,0.0349,1.005,1.05,0.895,0,2025-07-04 11:32:00.226999998,1751628720.227,6
2.7959,0.3,0.0322,0.9151,0.95,0.905,0,2025-07-04 11:32:20.226999998,1751628740.227,6
2.934,0.4,0.0324,0.8048,0.7167,0.9283,0,2025-07-04 11:32:40.226999998,1751628760.227,6
2.9248,0.3667,0.0347,0.6473,0.2833,0.9717,0,2025-07-04 11:33:00.226999998,1751628780.227,6
2.4398,0.3,0.0371,0.4878,0.1167,0.9866,0,2025-07-04 11:33:20.226999998,1751628800.227,6
1.5544,0.1167,0.0356,0.2377,0.0,1.0,0,2025-07-04 11:33:40.226999998,1751628820.227,6
