steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.9537,0.1333,0.0266,0.6158,0.0,1.0,0,2025-07-04 10:26:10.111999989,1751624770.112,2
2.8818,0.3167,0.0271,0.6728,0.25,0.97,0,2025-07-04 10:26:30.111999989,1751624790.112,2
2.7941,0.4167,0.0294,0.5001,0.25,0.975,0,2025-07-04 10:26:50.111999989,1751624810.112,2
2.6862,0.5167,0.0306,0.6103,0.4333,0.9567,2,2025-07-04 10:27:10.111999989,1751624830.112,2
2.7774,0.5,0.0309,0.5218,0.1833,0.9817,2,2025-07-04 10:27:30.111999989,1751624850.112,2
2.8565,0.5,0.0316,0.5657,0.1833,0.9817,2,2025-07-04 10:27:50.111999989,1751624870.112,2
2.6093,0.5,0.0449,0.5009,0.0,1.0,0,2025-07-04 10:28:10.111999989,1751624890.112,2
2.7605,0.3833,0.1025,0.7344,0.4333,0.9567,2,2025-07-04 10:28:30.112999916,1751624910.113,2
2.7756,0.45,0.1032,0.7747,0.5333,0.9467,2,2025-07-04 10:28:50.211999893,1751624930.212,2
2.8737,0.4,0.0833,0.8308,0.6167,0.9383,2,2025-07-04 10:29:10.213000059,1751624950.213,2
2.6463,0.5167,0.0679,0.7241,0.3167,0.9683,0,2025-07-04 10:29:30.312000036,1751624970.312,2
2.6697,0.4333,0.08,0.7959,0.5,0.95,2,2025-07-04 10:29:50.312000036,1751624990.312,2
2.4287,0.4,0.0768,0.7506,0.4167,0.9583,2,2025-07-04 10:30:10.312000036,1751625010.312,2
2.7924,0.3667,0.0447,0.7226,0.4667,0.9533,2,2025-07-04 10:30:30.312999964,1751625030.313,2
2.7676,0.4333,0.033,0.6417,0.1833,0.9817,0,2025-07-04 10:30:50.411999941,1751625050.412,2
2.7388,0.3,0.0329,0.6433,0.1833,0.9739,0,2025-07-04 10:31:10.413000107,1751625070.413,2
