timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751029552,2.9521,0.35,0.026,0.3691,0.0,1.0,0,5
1970-01-01 00:00:01.751029572,2.7687,0.4167,0.0244,0.3684,0.0,1.0,0,5
1970-01-01 00:00:01.751029592,2.8465,0.4667,0.0248,0.4277,0.0,1.0,0,5
1970-01-01 00:00:01.751029612,2.8742,0.5,0.0267,0.4956,0.0,1.0,0,5
1970-01-01 00:00:01.751029632,2.9201,0.45,0.0267,0.6057,0.0,1.0,0,5
1970-01-01 00:00:01.751029652,2.9608,0.4333,0.0271,0.6706,0.0,1.0,0,5
1970-01-01 00:00:01.751029672,2.8341,0.45,0.0358,0.7114,0.0167,0.9983,2,5
1970-01-01 00:00:01.751029692,2.0206,0.5667,0.0636,0.7017,0.1,0.99,5,5
1970-01-01 00:00:01.751029712,2.4014,0.5167,0.0784,0.9095,0.6667,0.9333,14,5
1970-01-01 00:00:01.751029732,2.3764,0.5833,0.0683,0.9138,0.8167,0.9183,14,5
1970-01-01 00:00:01.751029752,2.477,0.5333,0.0531,0.8999,0.7333,0.9267,11,5
1970-01-01 00:00:01.751029772,2.5412,0.4667,0.042,0.6835,0.1667,0.9833,2,5
1970-01-01 00:00:01.751029792,2.3963,0.4167,0.0523,0.657,0.0333,0.9967,3,5
