steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.9517,0.15,0.0286,0.3654,0.0,1.0,0,2025-06-27 13:05:22.160000086,1751029522.16,5
2.9415,0.3167,0.0277,0.3746,0.0,1.0,0,2025-06-27 13:05:42.160000086,1751029542.16,5
3.0086,0.4,0.0252,0.3834,0.0,1.0,0,2025-06-27 13:06:02.160000086,1751029562.16,5
2.7889,0.5,0.025,0.3965,0.0,1.0,0,2025-06-27 13:06:22.160000086,1751029582.16,5
2.8421,0.4667,0.0248,0.4766,0.0,1.0,0,2025-06-27 13:06:42.160000086,1751029602.16,5
2.877,0.4333,0.0267,0.558,0.0,1.0,0,2025-06-27 13:07:02.160000086,1751029622.16,5
2.8756,0.4,0.0259,0.6166,0.0667,0.9933,0,2025-06-27 13:07:22.160000086,1751029642.16,5
2.8515,0.4667,0.0294,0.6371,0.1333,0.9867,0,2025-06-27 13:07:42.259000063,1751029662.259,5
2.027,0.4667,0.0639,0.7457,0.4,0.96,5,2025-06-27 13:08:02.259000063,1751029682.259,5
2.414,0.5333,0.0797,0.8693,0.8,0.92,7,2025-06-27 13:08:22.259999990,1751029702.26,5
2.4765,0.5167,0.0768,0.9425,1.1167,0.8885,16,2025-06-27 13:08:42.259999990,1751029722.26,5
2.5481,0.5833,0.0534,0.8854,0.85,0.915,11,2025-06-27 13:09:02.259999990,1751029742.26,5
2.6616,0.4667,0.0337,0.6845,0.3833,0.9617,9,2025-06-27 13:09:22.358999968,1751029762.359,5
2.0704,0.5,0.0457,0.6189,0.2667,0.9733,3,2025-06-27 13:09:42.359999895,1751029782.36,5
2.3893,0.3333,0.0535,0.632,0.3,0.9667,3,2025-06-27 13:10:02.460000038,1751029802.46,5
2.4388,0.25,0.0622,0.7422,0.3,0.9469,3,2025-06-27 13:10:22.559000015,1751029822.559,5
